numAGVs	makespan
10	620500
10	408300
10	745800
10	454400
10	375300
10	498400
10	491200
10	377800
10	469400
10	493900
20	486500
20	629800
20	878800
20	525600
20	487500
20	424900
20	646800
20	555700
20	703800
20	498700
30	565200
30	680600
30	661000
30	585900
30	590900
30	683600
30	515800
30	496100
30	607300
30	497000
40	577300
40	480900
40	717100
40	555400
40	532500
40	556900
40	613400
40	625000
40	689400
40	728300
50	710500
50	600400
50	627800
50	692700
50	417400
50	625400
50	625500
50	692200
50	695000
50	692500
60	574500
60	563100
60	797000
60	727800
60	669400
60	760800
60	600500
60	615400
60	682300
60	774700
70	863300
70	598600
70	792400
70	642100
70	627400
70	732900
70	694100
70	731900
70	611900
70	732000
80	663800
80	823600
80	818200
80	677600
80	790600
80	671400
80	584300
80	564100
80	763200
80	655700
90	714100
90	716400
90	686400
90	768200
90	691600
90	946700
90	729100
90	691500
90	779000
90	851400
100	646000
100	776900
100	823300
100	726200
100	697300
100	610000
100	680000
100	746700
100	801600
100	899100
