numAGVs	PlanCost
10	3086600
10	1884300
10	3117100
10	3026600
10	2010000
10	3038400
10	2813900
10	2013500
10	2064200
10	2348500
20	4701800
20	5479400
20	5863000
20	5102400
20	5229600
20	4627300
20	4834700
20	5432900
20	5297900
20	4525700
30	9027900
30	10090300
30	7076000
30	8295900
30	6295700
30	7251800
30	7646400
30	7331000
30	7169200
30	7549300
40	11197100
40	9059300
40	9534600
40	10949000
40	9530900
40	9393500
40	10444400
40	11201200
40	8432500
40	10317000
50	14948000
50	16469300
50	15202500
50	15549700
50	11857400
50	14103300
50	12899400
50	13793900
50	14625900
50	14746900
60	16273200
60	15476200
60	15833900
60	18072300
60	17135300
60	19697500
60	15518500
60	15127400
60	17308300
60	17001300
70	18451200
70	20001900
70	21799200
70	16947300
70	18992400
70	20609900
70	20853800
70	19615300
70	18190000
70	22664800
80	22412800
80	24015700
80	26492200
80	24914400
80	23552300
80	23609200
80	22227700
80	21914500
80	21884500
80	19038500
90	27233400
90	28830700
90	24358500
90	29459600
90	24476300
90	26488200
90	26734000
90	25828600
90	26862300
90	29580500
100	29743600
100	31086300
100	31025900
100	28579700
100	27496700
100	26655600
100	28874300
100	30189500
100	31039400
100	38463600
