numAGVs	makespan
10	620600
10	408400
10	745900
10	412300
10	375400
10	498400
10	491300
10	377900
10	469500
10	494000
20	428600
20	550600
20	883100
20	525700
20	453600
20	387600
20	646900
20	524600
20	703900
20	498800
30	565300
30	592700
30	659000
30	485900
30	567900
30	683700
30	515900
30	500000
30	607800
30	497100
40	577400
40	469900
40	573000
40	525800
40	423000
40	557000
40	533700
40	618900
40	677400
40	530700
50	710600
50	554500
50	611000
50	603200
50	400100
50	625500
50	595700
50	560800
50	485600
50	688800
60	574600
60	563300
60	779700
60	706700
60	656900
60	606000
60	581900
60	617600
60	674400
60	557500
70	863400
70	551100
70	792500
70	476200
70	607400
70	560500
70	734600
70	629700
70	536100
70	732100
80	655900
80	823700
80	797300
80	677600
80	640800
80	625700
80	584400
80	524300
80	763300
80	628400
90	622500
90	626600
90	686500
90	689400
90	691700
90	755400
90	622800
90	660000
90	668800
90	752200
100	607000
100	908200
100	678900
100	711700
100	689900
100	599000
100	559100
100	676800
100	715300
100	715100
