numAGVs	PlanCost
10	2252000
10	1695900
10	1849000
10	1829400
10	1610400
10	2107700
10	2127200
10	1696200
10	1501100
10	1687500
20	3730100
20	4176000
20	3923900
20	3396300
20	3404100
20	3521900
20	3648800
20	3298400
20	3716900
20	3318000
30	6404200
30	7324000
30	5128200
30	5221300
30	4828500
30	5063300
30	5366800
30	5084100
30	5289900
30	5354600
40	7098800
40	6172700
40	6856100
40	7836600
40	6508300
40	6640500
40	7656100
40	7549400
40	6376200
40	6737600
50	9158500
50	10772900
50	9812200
50	10001900
50	8706200
50	9515100
50	8449000
50	8792700
50	8690700
50	10232200
60	10826600
60	10961700
60	10975200
60	10478800
60	10896900
60	12783000
60	11430200
60	10450400
60	10118300
60	10536700
70	12323300
70	13087700
70	13833900
70	10880600
70	12802700
70	12326100
70	13651300
70	12333500
70	11387000
70	13431200
80	14068000
80	14596000
80	15434400
80	14757200
80	15246900
80	14889800
80	14588300
80	14655800
80	14597700
80	13074500
90	17006600
90	16967700
90	15937200
90	17584300
90	15717200
90	15530700
90	16699000
90	16186800
90	16934000
90	17101100
100	18611500
100	19018000
100	17711200
100	17838800
100	18385600
100	17053000
100	18286900
100	18223200
100	18688900
100	20546700
