numAGVs	PlanCost
10	3660700
10	1982300
10	3316100
10	4191800
10	3439500
10	4142000
10	3079300
10	2548700
10	2695700
10	2954900
10	3486200
10	3929200
10	4670600
10	3154200
10	3173000
10	3837900
10	2553500
10	2631200
10	3474400
10	3565300
10	3516400
10	3524100
10	3112300
10	2877000
10	3102400
10	3008100
10	2588300
10	2975500
10	2389600
10	2832300
10	3193700
10	2696000
10	2507700
10	4037100
10	2473000
10	3425200
10	4476400
10	3888100
10	2507700
10	4262600
10	2948400
10	4677700
10	2643700
10	4024000
10	2273800
10	3863600
10	2706900
10	2206700
10	2543600
10	4540500
10	1616800
10	3287000
10	2867000
10	4216300
10	3332600
10	3489300
10	3600500
10	2457200
10	3124100
10	2530000
10	3483700
10	3966500
10	5288200
10	4016300
10	2651600
10	1863500
10	4206800
10	3625700
10	2260100
10	4849200
10	2304100
10	2816600
10	3358100
10	2810700
10	3023000
10	4610900
10	3646200
10	2447000
10	3597900
10	2731400
10	2493400
10	2298500
10	2878900
10	4660000
10	3402700
10	4131300
10	3575400
10	2801200
10	2412400
10	4242300
10	2687300
10	3638700
10	2998900
10	2772900
10	3060000
10	3461400
10	2781300
10	2050600
10	2974100
10	4816600
20	4627100
20	7591200
20	6170400
20	4650900
20	6113400
20	5133500
20	6401600
20	4675300
20	5688000
20	6968900
20	5732000
20	9077800
20	6317000
20	8228800
20	6733400
20	5732700
20	6443300
20	6641000
20	8964200
20	6392700
20	6512300
20	7054600
20	5577800
20	7114900
20	7657600
20	5593100
20	6784400
20	6346500
20	7232500
20	4692100
20	3920400
20	5046700
20	6955400
20	6669500
20	7234700
20	5314500
20	9319800
20	7998100
20	7428200
20	7030900
20	5293100
20	8818800
20	7091800
20	7670500
20	4754000
20	8239600
20	7618300
20	6480200
20	8223900
20	5682300
20	6283400
20	6670400
20	6860500
20	5826300
20	5213100
20	6796200
20	6289100
20	5404700
20	5545800
20	5723300
20	6594600
20	7227800
20	5641700
20	6384100
20	8379800
20	5615700
20	7520300
20	6092900
20	5514600
20	8291700
20	7651300
20	5609600
20	7934600
20	5756000
20	7788900
20	9406100
20	8354100
20	6492800
20	7812700
20	5769000
20	6761800
20	6723600
20	9033400
20	6554800
20	7503400
20	6957700
20	7901700
20	6033200
20	6786700
20	6015400
20	6449000
20	6864500
20	10275400
20	7129200
20	6551300
20	5336700
20	6482100
20	6794000
20	5779200
20	6569200
30	9740300
30	9011500
30	11907800
30	12037900
30	10095900
30	10172800
30	9716900
30	11693300
30	9205800
30	8388400
30	7758700
30	13383900
30	7648500
30	9661500
30	9864200
30	9129600
30	12790400
30	9455700
30	11568500
30	7905200
30	11210900
30	12806100
30	8036000
30	12826400
30	10868500
30	9190300
30	11325000
30	8978100
30	9671600
30	12005300
30	14093100
30	9194400
30	10311700
30	10967700
30	11341600
30	9992200
30	10139300
30	10699400
30	11226300
30	10316000
30	11058000
30	11995200
30	7223200
30	12369700
30	10376800
30	12308700
30	11322500
30	9035900
30	10667300
30	13699500
30	10630800
30	8581700
30	10988400
30	14592800
30	7622900
30	9283400
30	9424500
30	9100400
30	10570300
30	12276400
30	12301700
30	9149100
30	10714500
30	10571700
30	10701900
30	10813600
30	10500100
30	12050900
30	10954200
30	13742100
30	13034400
30	11751000
30	10524100
30	9171700
30	8984100
30	13522600
30	12491700
30	9247300
30	10890900
30	11652700
30	10271200
30	9201700
30	8110800
30	8833500
30	10042600
30	12252300
30	10727800
30	10752200
30	11989700
30	10124000
30	8931500
30	8362800
30	9506600
30	12782700
30	10701300
30	7528300
30	9389300
30	8274500
30	10283900
30	8864900
40	12726900
40	10279600
40	13677400
40	19423900
40	12372800
40	15943500
40	15611600
40	19492000
40	16576200
40	16006400
40	16385000
40	16561800
40	14125700
40	12824600
40	11452800
40	14558900
40	11997500
40	16762300
40	13601100
40	13376700
40	20678100
40	12900500
40	14758000
40	16744700
40	10415600
40	13351600
40	15389200
40	15428100
40	12013300
40	14435900
40	13097500
40	18045000
40	14469300
40	17692200
40	12840000
40	16571900
40	15143900
40	13538600
40	17249900
40	16071000
40	14153200
40	12369100
40	14580100
40	17243900
40	15442500
40	13863000
40	15702100
40	21535100
40	13853900
40	19473300
40	11543000
40	14440000
40	16654600
40	16641600
40	11910700
40	12173100
40	14352700
40	15345500
40	16401800
40	14157600
40	15292000
40	14345500
40	13755900
40	16661300
40	15383200
40	13740900
40	13941800
40	15159600
40	13146300
40	15650300
40	14163800
40	12510500
40	13839400
40	12323800
40	11404300
40	16060100
40	14078800
40	13209500
40	13368800
40	15125000
40	13642000
40	12947100
40	12658600
40	13328500
40	15900800
40	13147400
40	12550100
40	15515500
40	12708200
40	18343600
40	13705700
40	13282700
40	13843700
40	12520400
40	12957800
40	13111800
40	13588200
40	11954800
40	12106500
40	12167500
50	20532600
50	18556700
50	23146700
50	20782200
50	15110200
50	19044900
50	18040000
50	17856600
50	17508600
50	19565400
50	25692500
50	13180500
50	14850500
50	18428900
50	21817100
50	21831900
50	20946700
50	14919300
50	19502800
50	18938300
50	20308200
50	23125600
50	17860500
50	15636800
50	17334500
50	16567300
50	19842700
50	16800500
50	23524800
50	19520900
50	20632600
50	17167100
50	23320400
50	16732400
50	19030800
50	20079400
50	19154000
50	15375400
50	22215200
50	16317500
50	15040800
50	20307000
50	22923700
50	21320100
50	22181200
50	23376600
50	18755100
50	15583100
50	19875200
50	22618300
50	19881500
50	17719200
50	18397500
50	18902700
50	16097700
50	15708900
50	19974200
50	17344000
50	16067000
50	18728600
50	20247700
50	22362500
50	17003800
50	17522600
50	16082300
50	21518500
50	18795500
50	21467500
50	21727400
50	17752900
50	24579600
50	16830900
50	17410200
50	18248100
50	19705800
50	21048400
50	18943800
50	19268300
50	22108500
50	15637400
50	22814700
50	15570600
50	18245100
50	22900800
50	20313400
50	21250600
50	19624200
50	18295100
50	18324600
50	17429900
50	18731700
50	17103800
50	17492400
50	20564500
50	23948400
50	22857700
50	19236100
50	20954100
50	15079800
50	18760500
60	26082500
60	27967700
60	20888700
60	23465200
60	21240200
60	20692400
60	27034300
60	23014700
60	25581800
60	23795600
60	25313900
60	18301800
60	23242800
60	24602500
60	23381000
60	20778300
60	22575000
60	31958200
60	23028400
60	27586500
60	16715500
60	24941500
60	29396500
60	33480900
60	24897900
60	20084900
60	25475100
60	22201200
60	21194400
60	24601200
60	26681400
60	26412000
60	24934000
60	20193300
60	25293000
60	22921400
60	22642200
60	21344700
60	21719400
60	22545600
60	24898000
60	23333700
60	28854600
60	26238900
60	21788200
60	24966500
60	18379200
60	23388100
60	21941200
60	26154700
60	23359400
60	24044600
60	18442800
60	21832100
60	27619200
60	22592200
60	29278600
60	30375100
60	27395300
60	29661300
60	23089600
60	27340600
60	27704000
60	23631700
60	21758800
60	26119900
60	25385500
60	29766600
60	26527500
60	26018700
60	26110200
60	21795600
60	26113200
60	23730300
60	24565700
60	26595500
60	25009500
60	23565700
60	28545200
60	22599300
60	20853200
60	25880900
60	22909800
60	22287300
60	23059900
60	22788700
60	21738600
60	28270400
60	24625400
60	29708600
60	22450100
60	22973300
60	25963900
60	27263000
60	23689400
60	23091200
60	26391700
60	20650700
60	30996700
60	28781700
70	29835100
70	26296000
70	28130700
70	25911800
70	36374500
70	24917000
70	30785900
70	26834100
70	28693400
70	31387800
70	30514100
70	31418500
70	28635400
70	33322100
70	30906300
70	25900400
70	27059700
70	29855800
70	31391800
70	32276500
70	32565500
70	27647500
70	25561700
70	28888600
70	31432600
70	25993400
70	25405600
70	29847700
70	32060200
70	30439600
70	28607700
70	35772000
70	25248300
70	31202100
70	28120900
70	29595500
70	26783200
70	30049300
70	34010000
70	27357400
70	32325300
70	27277600
70	28828300
70	29122800
70	32450200
70	34541600
70	33006500
70	33769600
70	33122700
70	36568200
70	30484700
70	26614700
70	26133500
70	32919600
70	27308400
70	30304700
70	26099200
70	27799100
70	35983700
70	31137500
70	29738500
70	27106200
70	38808800
70	25594700
70	21977400
70	24271900
70	28982100
70	23707100
70	23446800
70	27645600
70	33330500
70	30743000
70	33070500
70	25906100
70	27969800
