numAGVs	makespan
10	668200
10	448800
10	614400
10	344900
10	403600
10	457800
10	444200
10	373000
10	619300
10	405600
20	661600
20	627800
20	517900
20	481900
20	542900
20	504000
20	646100
20	525500
20	441700
20	451300
30	551100
30	714500
30	746200
30	506700
30	440700
30	481600
30	505700
30	562100
30	649500
30	576100
40	413300
40	568200
40	568200
40	534100
40	412400
40	609200
40	494300
40	697800
40	651700
40	647600
50	667300
50	545400
50	652300
50	527700
50	499100
50	617400
50	630400
50	633700
50	513600
50	552200
60	490000
60	495300
60	566700
60	571700
60	564400
60	725700
60	711300
60	720400
60	561000
60	593300
70	589400
70	563500
70	741800
70	609300
70	748700
70	659200
70	529200
70	668200
70	615400
70	648900
80	533300
80	774700
80	786000
80	607300
80	717300
80	624200
80	516100
80	599500
80	669500
80	519900
90	738000
90	590900
90	547800
90	651000
90	694900
90	982800
90	659300
90	598100
90	620600
90	554400
100	611900
100	826500
100	964100
100	684700
100	620100
100	823200
100	765600
100	668100
100	712100
100	700000
