numAGVs	PlanCost
10	428000
10	408000
10	596000
10	660000
10	536000
10	620000
10	568000
10	468000
10	424000
10	596000
10	520000
10	460000
10	496000
10	392000
10	568000
10	600000
10	600000
10	556000
10	540000
10	684000
10	532000
10	656000
10	368000
10	564000
10	728000
10	468000
10	604000
10	484000
10	568000
10	596000
10	468000
10	520000
10	484000
10	508000
10	576000
10	580000
10	520000
10	440000
10	472000
10	488000
10	480000
10	428000
10	532000
10	692000
10	612000
10	460000
10	644000
10	608000
10	636000
10	472000
10	540000
10	692000
10	448000
10	704000
10	616000
10	568000
10	628000
10	624000
10	460000
10	608000
10	448000
10	440000
10	632000
10	712000
10	400000
10	680000
10	536000
10	408000
10	396000
10	408000
10	648000
10	628000
10	592000
10	480000
10	548000
10	652000
10	488000
10	552000
10	484000
10	568000
10	600000
10	560000
10	616000
10	580000
10	484000
10	528000
10	368000
10	580000
10	464000
10	524000
10	468000
10	516000
10	512000
10	524000
10	620000
10	548000
10	536000
10	568000
10	548000
10	532000
20	1012000
20	1252000
20	1128000
20	924000
20	1040000
20	944000
20	984000
20	1328000
20	1064000
20	1312000
20	1020000
20	1304000
20	1204000
20	1084000
20	1304000
20	1212000
20	964000
20	1176000
20	972000
20	936000
20	1160000
20	1204000
20	1116000
20	1104000
20	928000
20	952000
20	980000
20	1268000
20	1076000
20	1084000
20	1136000
20	1076000
20	1160000
20	1036000
20	1400000
20	1200000
20	1248000
20	1008000
20	1228000
20	1136000
20	1228000
20	1164000
20	1160000
20	1388000
20	1000000
20	1172000
20	1400000
20	1076000
20	1100000
20	884000
20	1136000
20	1128000
20	1140000
20	1120000
20	1212000
20	1272000
20	1044000
20	1184000
20	1076000
20	1116000
20	980000
20	1160000
20	932000
20	1216000
20	1144000
20	1248000
20	1048000
20	756000
20	1076000
20	944000
20	1028000
20	1044000
20	1148000
20	1092000
20	908000
20	880000
20	1084000
20	924000
20	996000
20	1152000
20	1088000
20	1048000
20	960000
20	1060000
20	1076000
20	1276000
20	1168000
20	956000
20	1220000
20	984000
20	916000
20	1212000
20	1172000
20	1028000
20	932000
20	1144000
20	1128000
20	1236000
20	1016000
20	1268000
30	1496000
30	1748000
30	1932000
30	1568000
30	1936000
30	1864000
30	1724000
30	1540000
30	1668000
30	1448000
30	1840000
30	1792000
30	1648000
30	1640000
30	1408000
30	1824000
30	1792000
30	1504000
30	1488000
30	1540000
30	1644000
30	1512000
30	1700000
30	1504000
30	1820000
30	1688000
30	1980000
30	1868000
30	1680000
30	1728000
30	1396000
30	1900000
30	1652000
30	1728000
30	1796000
30	1596000
30	1636000
30	1612000
30	1592000
30	1668000
30	1760000
30	1736000
30	1780000
30	1656000
30	1804000
30	1448000
30	1688000
30	1524000
30	1752000
30	1780000
30	1760000
30	1460000
30	1988000
30	1748000
30	1724000
30	1580000
30	1832000
30	1520000
30	1820000
30	1628000
30	1664000
30	1520000
30	1576000
30	1404000
30	1728000
30	1976000
30	1740000
30	1600000
30	1604000
30	1560000
30	1652000
30	1684000
30	1728000
30	1732000
30	1640000
30	1696000
30	1444000
30	1744000
30	1996000
30	1676000
30	1664000
30	1768000
30	1644000
30	1840000
30	1936000
30	1716000
30	1648000
30	1724000
30	2008000
30	1648000
30	1664000
30	1712000
30	1848000
30	1600000
30	1680000
30	1548000
30	1592000
30	1688000
30	1596000
30	1536000
40	2344000
40	2048000
40	2260000
40	2520000
40	2540000
40	2072000
40	2208000
40	2284000
40	2188000
40	2060000
40	2400000
40	2136000
40	2224000
40	2268000
40	2272000
40	2416000
40	2144000
40	2052000
40	2408000
40	2248000
40	2472000
40	2008000
40	2212000
40	2204000
40	2072000
40	2592000
40	2644000
40	2268000
40	2224000
40	1960000
40	2240000
40	2400000
40	1948000
40	2148000
40	2040000
40	2404000
40	2060000
40	2368000
40	2088000
40	1956000
40	2348000
40	2424000
40	2084000
40	2224000
40	2160000
40	2672000
40	2260000
40	2648000
40	2508000
40	2268000
40	2220000
40	2028000
40	2424000
40	2344000
40	2140000
40	2144000
40	2376000
40	2092000
40	2376000
40	2260000
40	2148000
40	2020000
40	2568000
40	2424000
40	2544000
40	2084000
40	2280000
40	2464000
40	2280000
40	2052000
40	2532000
40	2448000
40	2392000
40	2036000
40	2196000
40	2192000
40	2452000
40	2356000
40	2216000
40	2356000
40	2520000
40	2120000
40	2076000
40	2424000
40	2120000
40	2136000
40	2268000
40	2396000
40	2504000
40	2172000
40	2472000
40	2508000
40	2324000
40	2576000
40	1908000
40	1892000
40	2416000
40	2120000
40	2164000
40	2276000
50	2708000
50	2840000
50	3052000
50	3076000
50	2940000
50	2956000
50	2876000
50	2948000
50	2940000
50	2956000
50	3092000
50	2812000
50	2532000
50	3032000
50	3032000
50	3112000
50	2812000
50	2484000
50	2388000
50	2844000
50	3044000
50	2484000
50	3052000
50	2712000
50	2885800
50	2768000
50	2744000
50	2900000
50	2956000
50	2652000
50	3084000
50	2884000
50	3012000
50	2720000
50	2488000
50	2736000
50	3072000
50	2860000
50	3048000
50	3176000
50	2952000
50	2912000
50	2864000
50	3072000
50	2820000
50	2824000
50	2952000
50	3068000
50	2836000
50	2668000
50	2660000
50	3028000
50	2288000
50	2672000
50	2880000
50	2788000
50	3020000
50	2864000
50	2704000
50	2860000
50	2540000
50	3036000
50	3192000
50	2872000
50	2860000
50	2904000
50	2828000
50	2968000
50	2888000
50	3048000
50	2820000
50	2604000
50	2624000
50	2832000
50	2968000
50	2732000
50	2944000
50	2524000
50	2760000
50	2740000
50	2720000
50	2852000
50	2908000
50	2748000
50	2844000
50	2852000
50	2904000
50	2740000
50	2576000
50	2796000
50	2692000
50	2916000
50	2648000
50	2600000
50	2872000
50	2820000
50	2688000
50	2756000
50	2940000
50	2792000
60	3864000
60	3456000
60	3232000
60	3844000
60	3540000
60	3364000
60	3436000
60	3408000
60	3476000
60	3356000
60	3408000
60	3436000
60	3652000
60	3256000
60	3420000
60	3636000
60	3452000
60	3652000
60	3288000
60	3380000
60	3768000
60	3540000
60	3520000
60	3564000
60	3624000
60	3272000
60	3388000
60	3464000
60	3632000
60	3568000
60	3180000
60	3456000
60	3480000
60	3420000
60	3272000
60	3432000
60	3260000
60	3776000
60	3760000
60	3156000
60	3680000
60	3656000
60	3164000
60	3776000
60	3200000
60	3520000
60	3411700
60	3660000
60	3764000
60	3736000
60	3548000
60	3708000
60	3760000
60	3312000
60	3104000
60	3432000
60	3712000
60	3864000
60	3476000
60	4276000
60	3396000
60	3132000
60	3544000
60	3964000
60	3880000
60	3788000
60	3856000
60	3360000
60	3972000
60	3436000
60	3840000
60	3528000
60	3472000
60	3856000
60	3300000
60	3528000
60	3645800
60	3708000
60	3356000
60	4012000
60	3752000
60	3280000
60	3548000
60	3260000
60	3672000
60	3680000
60	3068000
60	3828000
60	3952000
60	3556000
60	3368000
60	3292000
60	3924000
60	3228000
60	3680000
60	3804000
60	3780000
60	3352000
60	3368000
60	2924000
70	4176000
70	4208000
70	3976000
70	4056000
70	3848000
70	4100000
70	4396000
70	3916000
70	4372000
70	4072000
70	4136000
70	4288000
70	3944000
70	4408000
70	3992000
70	4040000
70	4284000
70	4124000
70	4448000
70	4608000
70	4372000
70	3960000
70	4236000
70	3736000
70	3740000
70	4296000
70	4372000
70	4244000
70	3872000
70	3776000
70	3664000
70	4264000
70	4324000
70	4108000
70	4168000
70	3528000
70	4136000
70	3916000
70	3944000
70	4728000
70	4152000
70	4560000
70	3920000
70	3960000
70	3968000
70	4840000
70	3876000
70	3996000
70	3712000
70	4080000
70	4168000
70	3932000
70	3948000
70	4188000
70	3992000
70	4112000
70	4364000
70	4236000
70	4376000
70	4088000
70	4124000
70	4264000
70	4728000
70	4256000
70	3876000
70	3956000
70	4124000
70	4020000
70	4020000
70	4260000
70	3952000
70	4432000
70	4148000
70	4408000
70	4188000
70	4076000
70	4388000
70	4164000
70	4004000
70	3952000
70	4352000
70	4336000
70	3992000
70	3616000
70	3924000
70	4036000
70	4036000
70	3600000
70	4500000
70	4236000
70	4568000
70	4116000
70	4236000
70	4117800
70	4448000
70	3656000
70	4304000
70	4432000
70	3796000
70	4380000
80	4792000
80	4228000
80	4644000
80	4012000
80	5428000
80	4848000
80	5096000
80	5144000
80	4476000
80	4388000
80	4880000
80	4264000
80	4759700
80	5132000
80	4704000
80	4772000
80	4568000
80	4880000
80	5400000
80	4596000
80	4704000
80	4780000
80	5216000
80	4956000
80	5112000
80	4580000
80	4588000
80	5156000
80	4572000
80	4652000
80	4496000
80	4816000
80	4432000
80	5224000
80	4896000
80	4756000
80	4400000
80	5392000
80	4516000
80	4828000
80	4708000
80	4744000
80	4696000
80	4628000
80	5048000
80	4920000
80	4776000
80	4687700
80	4464000
80	4836000
80	5028000
80	4604000
80	4912000
80	4904000
80	5032000
80	5196000
80	4728000
80	4356000
80	5260000
80	4736000
80	5464000
80	5096000
80	4964000
80	4904000
80	4636000
80	4696000
80	5088000
80	4560000
80	4476000
80	4592000
80	4728000
80	5152000
80	4360000
80	4800000
80	4828000
80	4488000
80	4748000
80	4720000
80	4852000
80	4264000
80	4832000
80	4780000
80	4816000
80	4732000
80	4704000
80	5140000
80	4684000
80	5304000
80	4868000
80	4956000
80	4964000
80	4880000
80	5228000
80	5204000
80	4680000
80	4632000
80	4756000
80	5168000
80	5216000
80	4556000
90	5612000
90	5336000
90	5408000
90	6024000
90	5840000
90	5112000
90	5400000
90	5732000
90	6056000
90	5552000
90	5204000
90	5720000
90	5376000
90	5724000
90	5960000
90	5224000
90	5632000
90	5376000
90	5249800
90	5700000
90	5996000
90	6272000
90	5296000
90	5080000
90	5908000
90	5524000
90	5988000
90	5496000
90	5364000
90	5313800
90	5320000
90	5136000
90	5244000
90	5796000
90	5564000
90	5020000
90	6124000
90	5320000
90	5620000
90	5604000
90	5752000
90	5692000
90	5164000
90	5476000
90	5648000
90	5472000
90	5928000
90	5813800
90	5676000
90	5116000
90	5608000
90	5920000
90	5168000
90	5696000
90	4984000
90	5516000
90	5864000
90	4828000
90	5684000
90	4972000
90	5648000
90	6176000
90	5948000
90	5824000
90	5004000
90	4760000
90	5432000
90	4700000
90	5808000
90	5364000
90	5076000
90	6280000
90	4644000
90	5488000
90	5352000
90	5564000
90	5640000
90	5356000
90	5488000
90	5220000
90	5372000
90	5052000
90	5280000
90	5552000
90	5496000
90	5960000
90	5592000
90	4936000
90	5760000
90	5344000
90	5252000
90	5964000
90	5736000
90	5636000
90	5940000
90	5616000
90	5552000
90	5136000
90	5656000
90	5408000
100	6004000
100	6628000
100	6864000
100	6716000
100	5592000
100	6208000
100	6080000
100	5992000
100	6236000
100	6235700
100	7124000
100	5784000
100	5924000
100	6020000
100	6904000
100	6364000
100	6304000
100	5776000
100	6216000
100	6436000
100	6632000
100	6132000
100	5868000
100	6212000
100	6456000
100	6320000
100	6012000
100	6716000
100	5928000
100	6440000
100	5956000
100	6364000
100	5636000
100	5804000
100	6416000
100	6112000
100	5840000
100	6000000
100	6372000
100	6148000
100	6308000
100	5884000
100	6128000
100	6136000
100	6652000
100	6328000
100	5796000
100	6032000
100	6284000
100	6688000
100	5840000
100	6060000
100	6248000
100	6340000
100	5608000
100	6224000
100	6568000
100	6412000
100	6212000
100	5788000
100	6836000
100	6732000
100	6160000
100	6368000
100	6256000
100	6344000
100	6676000
100	6780000
100	5660000
100	5628000
100	6896000
100	5976000
100	7016000
100	6416000
100	5936000
100	6424000
100	5728000
100	6276000
100	6224000
100	6060000
100	6136000
100	6060000
100	6408000
100	6044000
100	6324000
100	6384000
100	6068000
100	5928000
100	6652000
100	5604000
100	6148000
100	5824000
100	6472000
100	6460000
100	6641800
100	6228000
100	6188000
100	6232000
100	6456000
100	5904000
