numAGVs	PlanCost
10	2793900
10	2234300
10	2657700
10	2627300
10	1909700
10	3098100
10	2775400
10	2162400
10	1948100
10	2526800
20	4314600
20	4783500
20	5245100
20	4620800
20	4333400
20	4626400
20	4422000
20	4016000
20	5341000
20	4492200
30	8548900
30	8930500
30	5774400
30	7336300
30	5819600
30	7471700
30	7113900
30	6473400
30	7334300
30	7047100
40	7976400
40	8219800
40	8523800
40	10860200
40	7962600
40	8841000
40	9669600
40	9862800
40	8102200
40	9158000
50	12309300
50	13134500
50	14047600
50	13383800
50	10911400
50	12961100
50	12084200
50	11007000
50	11959600
50	12775000
60	13877700
60	14649600
60	14337500
60	16112900
60	13783200
60	17757700
60	15224500
60	13038000
60	13206700
60	13578100
70	15414500
70	18625200
70	18291100
70	14519600
70	17748400
70	15314700
70	18569700
70	17679000
70	15638300
70	18057100
80	19727800
80	20388600
80	21204200
80	21572400
80	18690000
80	19720900
80	18907700
80	20346100
80	20527600
80	18394000
90	23774100
90	23048300
90	21980600
90	24902900
90	21068600
90	21992800
90	25475700
90	21931500
90	24986600
90	22613400
100	26252000
100	26882300
100	26308200
100	24831500
100	25200400
100	25250600
100	23976200
100	24596500
100	26945300
100	27945500
