numAGVs	FinishedTask
10	145
10	145
10	146
10	153
10	142
10	142
10	145
10	142
10	148
10	141
20	197
20	203
20	203
20	208
20	203
20	202
20	196
20	203
20	206
20	211
30	241
30	243
30	247
30	240
30	236
30	249
30	237
30	248
30	245
30	237
40	253
40	257
40	254
40	251
40	257
40	257
40	257
40	254
40	258
40	255
50	285
50	287
50	271
50	279
50	281
50	290
50	284
50	286
50	290
50	284
60	283
60	295
60	287
60	288
60	295
60	293
60	287
60	291
60	290
60	289
70	294
70	287
70	286
70	289
70	290
70	299
70	293
70	290
70	296
70	287
80	287
80	295
80	297
80	295
80	288
80	297
80	293
80	294
80	292
80	298
90	298
90	296
90	299
90	294
90	300
90	298
90	298
90	297
90	289
90	308
100	308
100	314
100	308
100	306
100	308
100	312
100	307
100	309
100	303
100	308
