numAGVs	PlanCost
10	9239400
10	9527300
10	9178700
10	10035300
10	8409900
10	9434600
10	8544700
10	7581900
10	8713100
10	8581200
20	19455000
20	16613900
20	17611300
20	17237900
20	17304500
20	20548200
20	19932500
20	19710800
20	17541100
20	19715700
30	30475100
30	30123100
30	33143800
30	26927000
30	28919400
30	29512600
30	25312700
30	24953100
30	29693700
30	32254100
40	40667000
40	42453400
40	41110700
40	42039600
40	38439300
40	42570300
40	39406100
40	39562800
40	38386600
40	36655800
50	49292200
50	47589200
50	47042800
50	52404500
50	51145500
50	48382100
50	52996800
50	47661000
50	49628000
50	52291000
60	73976800
60	59661000
60	65553400
60	64892900
60	63897500
60	60614300
60	62057200
60	59588800
60	65686700
60	63260500
70	69861600
70	76197200
70	81770600
70	75570000
70	81253900
70	81391900
70	74529900
70	76016600
70	73460200
70	72064200
80	87394800
80	91110100
80	95673500
80	86791800
80	82933100
80	89877200
80	88258000
80	91349700
80	81652000
80	84049300
90	103792200
90	106537700
90	92934000
90	100597300
90	102488800
90	96142000
90	102363900
90	104523000
90	93880000
90	103213600
100	113561600
100	113627000
100	129316900
100	114463400
100	119366900
100	118119600
100	116377100
100	124384800
100	124019100
100	116124300
