numAGVs	PlanCost
10	8691000
10	9176000
10	8763600
10	8823600
10	8162300
10	8814000
10	7682700
10	7424700
10	8215500
10	8189000
20	16920400
20	15665900
20	16496000
20	15212300
20	16275200
20	18950200
20	17820600
20	17940000
20	16008200
20	17044800
30	24501200
30	26526600
30	27811500
30	24211000
30	25779700
30	25858600
30	23193200
30	22807100
30	26004500
30	26907100
40	33695000
40	34345800
40	32906800
40	34561600
40	31007000
40	34457100
40	33163400
40	32990300
40	32496100
40	31729400
50	38825100
50	41042200
50	39571100
50	43631300
50	42609500
50	42554000
50	46382300
50	40529400
50	41176300
50	40797300
60	50489900
60	51928900
60	51273700
60	50818300
60	53033000
60	50178100
60	51288400
60	49023100
60	53583800
60	50595700
70	58563200
70	62247600
70	64168000
70	59897400
70	61033400
70	61856900
70	63116200
70	62229200
70	62745600
70	58999200
80	66286900
80	70173900
80	74944400
80	69875400
80	68448200
80	68305900
80	68105600
80	72747700
80	67134100
80	67061700
90	85737800
90	83320200
90	76993300
90	79194700
90	83305600
90	78561900
90	80140500
90	81744300
90	78353600
90	81333200
100	90308400
100	94757400
100	94342300
100	89678700
100	96446100
100	95631000
100	87519600
100	98884800
100	92331200
100	94031700
