numAGVs	FinishedTask
10	39
10	32
10	37
10	34
10	34
10	41
10	33
10	34
10	36
10	34
20	70
20	74
20	75
20	73
20	78
20	69
20	75
20	73
20	69
20	67
30	116
30	111
30	104
30	105
30	111
30	104
30	105
30	112
30	111
30	102
40	131
40	140
40	144
40	143
40	144
40	142
40	145
40	135
40	142
40	152
50	165
50	178
50	172
50	169
50	174
50	163
50	171
50	160
50	164
50	189
60	196
60	194
60	194
60	190
60	192
60	188
60	202
60	187
60	184
60	193
70	227
70	213
70	198
70	210
70	226
70	211
70	211
70	218
70	210
70	217
80	238
80	232
80	245
80	242
80	235
80	217
80	231
80	228
80	234
80	222
90	238
90	252
90	210
90	256
90	254
90	248
90	244
90	238
90	245
90	255
100	266
100	236
100	276
100	251
100	254
100	252
100	254
100	246
100	274
100	215
