numAGVs	FinishedTask
10	53
10	58
10	66
10	58
10	52
10	58
10	57
10	51
10	53
10	56
20	109
20	110
20	116
20	115
20	107
20	118
20	114
20	110
20	120
20	113
30	168
30	158
30	163
30	176
30	154
30	177
30	170
30	182
30	168
30	165
40	204
40	224
40	226
40	225
40	210
40	215
40	224
40	200
40	212
40	208
50	257
50	260
50	273
50	279
50	247
50	264
50	279
50	260
50	268
50	260
60	276
60	314
60	322
60	303
60	301
60	315
60	283
60	290
60	297
60	303
70	334
70	316
70	320
70	345
70	332
70	329
70	332
70	353
70	336
70	319
80	355
80	349
80	356
80	366
80	326
80	342
80	339
80	369
80	329
80	360
90	349
90	367
90	366
90	373
90	380
90	379
90	367
90	387
90	388
90	412
100	386
100	384
100	420
100	429
100	425
100	408
100	410
100	392
100	436
100	404
