numAGVs	makespan
10	1041200
10	1040400
10	1139500
10	1007000
10	1361300
10	1474100
10	1154000
10	1066000
10	1246300
10	1255100
20	1058700
20	1345500
20	1104500
20	1158800
20	1285300
20	1514800
20	1181700
20	1052900
20	1414000
20	1576400
30	1061900
30	1666400
30	1170700
30	1299900
30	1162900
30	1244500
30	1269000
30	1372900
30	1327100
30	1388600
40	1361900
40	1213900
40	1385800
40	1329600
40	1210300
40	1343700
40	1419000
40	1304000
40	1382600
40	1313800
50	1416000
50	1295100
50	1376900
50	1543800
50	1344300
50	1238400
50	1264400
50	1387800
50	1217000
50	1531700
60	1446000
60	1438400
60	1505700
60	1380600
60	1295400
60	1348600
60	1469200
60	1585900
60	1641000
60	1443400
70	1268400
70	1544600
70	1655700
70	1815400
70	1563100
70	1689100
70	1468900
70	1471800
70	1380400
70	1468100
80	1870300
80	1626600
80	1514700
80	1525100
80	1414300
80	1932600
80	1496800
80	1568800
80	1607700
80	1875000
90	1549900
90	1648000
90	1803400
90	1444600
90	1655400
90	1658900
90	1708000
90	1645600
90	1758400
90	1635400
100	1787700
100	1800200
100	1650300
100	1789900
100	1456900
100	1526300
100	1649500
100	1810600
100	1855400
100	1702000
