numAGVs	makespan
10	1439700
10	1306700
10	1416700
10	1305800
10	1057700
10	1416100
10	1184000
10	1181500
10	1303900
10	1358400
20	1058700
20	1252200
20	1191100
20	1052200
20	1235000
20	1514100
20	1384500
20	1097600
20	1196300
20	1097900
30	1381000
30	1356400
30	1291400
30	1366500
30	1192500
30	1217200
30	1122400
30	1153200
30	1223500
30	1164900
40	1214600
40	1151900
40	1320700
40	1331400
40	1050000
40	1295800
40	1295000
40	1290800
40	1177300
40	1496900
50	1627300
50	1261600
50	1323000
50	1229400
50	1389200
50	1368500
50	1334100
50	1284800
50	1445700
50	1553300
60	1247900
60	1394800
60	1290400
60	1226300
60	1414200
60	1499000
60	1471300
60	1201900
60	1282700
60	1407200
70	1504800
70	1251300
70	1596400
70	1408900
70	1265000
70	1469700
70	1981700
70	1379800
70	1395600
70	1564400
80	1279700
80	1415800
80	1372500
80	1392500
80	1472100
80	1339400
80	1450100
80	1239400
80	1644100
80	1575500
90	1428000
90	1492600
90	1453100
90	1452500
90	1463400
90	1359800
90	1568100
90	1550000
90	1443900
90	1471800
100	1326900
100	1387500
100	1316500
100	1568800
100	1445800
100	1433100
100	1393000
100	1490800
100	1353600
100	1388800
