numAGVs	PlanCost
10	6961000
10	8084800
10	8644700
10	8492000
10	9417600
10	9214400
10	8574900
10	7906400
10	8188500
10	9467700
20	16980700
20	17847900
20	16541900
20	15890000
20	17423800
20	18830700
20	16032900
20	16164900
20	17522600
20	16378900
30	24803200
30	25296000
30	25087500
30	26438500
30	23224800
30	25361100
30	23815200
30	24296000
30	25248600
30	23196700
40	36657100
40	30425200
40	33458900
40	31587300
40	32972700
40	34272600
40	33523600
40	33066500
40	31582200
40	33180500
50	42106500
50	43463200
50	44210000
50	46354100
50	43417700
50	43151900
50	45520700
50	40717000
50	42274200
50	44476100
60	53251800
60	55252100
60	58518400
60	51506200
60	50333400
60	53635700
60	54919000
60	53785000
60	52525700
60	54763000
70	61822500
70	67148800
70	67665700
70	69655000
70	64806700
70	64445800
70	65976800
70	63267500
70	59606700
70	66861500
80	83592600
80	74081400
80	78474800
80	76530000
80	78390200
80	81820200
80	77452200
80	77017500
80	79093000
80	77234400
90	80475200
90	93091600
90	92816300
90	85060600
90	85790100
90	88073100
90	93199500
90	88419000
90	89495100
90	94045700
100	104839800
100	101648100
100	101594000
100	103970200
100	98772600
100	105848900
100	100697400
100	108684000
100	104427400
100	98458700
