numAGVs	PlanCost
10	8361400
10	8369200
10	8596500
10	8690400
10	8240500
10	9544800
10	7699300
10	7942500
10	8516700
10	8178300
20	14476500
20	17985100
20	16355100
20	16256700
20	16443100
20	17305500
20	16690400
20	16759100
20	15830800
20	16018700
30	24213800
30	25249900
30	25301300
30	25983700
30	24511700
30	25502000
30	23810800
30	24609400
30	24288000
30	24520900
40	32643700
40	31448200
40	30857200
40	30113100
40	29551100
40	33101000
40	32910200
40	32381500
40	32486400
40	33076200
50	41089000
50	42512000
50	39231300
50	38331100
50	42215900
50	41648300
50	41841700
50	40157700
50	43025700
50	41807200
60	49273300
60	52092100
60	50230400
60	49539300
60	47123600
60	51791100
60	50056000
60	49366500
60	49557800
60	49315400
70	59441500
70	55861100
70	59973500
70	58055400
70	58894100
70	56869500
70	62709400
70	60590300
70	60760700
70	64921300
80	67837800
80	73815600
80	67565600
80	71945300
80	67859000
80	70301300
80	66102200
80	66656400
80	69532000
80	70546300
90	80155000
90	76846000
90	76947500
90	75890900
90	78015200
90	77694700
90	80346100
90	78770700
90	79677200
90	74828900
100	90152700
100	89298800
100	82326400
100	90479800
100	88563700
100	85393300
100	86650400
100	88552000
100	88197900
100	87337200
